City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,santa marta,11.2408,-74.199,28.27,65,31,9.39,CO,1675984025
148,shenjiamen,29.9576,122.298,7.94,92,97,8.19,CN,1675984886
149,sitka,57.0531,-135.33,5.94,70,100,5.14,US,1675984887
150,saint george,37.1041,-113.5841,12.46,16,0,4.63,US,1675984887
151,mantua,45.1667,10.7833,-1.42,72,0,0.89,IT,1675984888
152,port moresby,-9.4431,147.1797,25.21,85,100,5.11,PG,1675984888
153,vao,-22.6667,167.4833,26.03,85,100,5.29,NC,1675984889
154,selimpasa,41.0558,28.379,4.97,73,25,8.73,TR,1675984890
155,san quintin,30.4833,-115.95,19.31,31,0,3.81,MX,1675984890
156,nago,26.5881,127.9761,21.24,83,30,6.79,JP,1675984891
157,labuhan,-6.8844,112.2051,25.2,89,100,3.28,ID,1675984891
158,porbandar,21.6422,69.6093,20.63,71,26,2.68,IN,1675984827
159,lagoa,39.05,-27.9833,13.57,59,99,5.75,PT,1675984892
160,general roca,-39.0333,-67.5833,33.12,10,0,0.98,AR,1675984892
161,hamilton,39.1834,-84.5333,10.35,71,100,13.89,US,1675984607
162,along,28.1667,94.7667,11.68,90,96,0.54,IN,1675984893
163,dudinka,69.4058,86.1778,-19.52,95,98,7.81,RU,1675984893
164,san patricio,28.017,-97.5169,21.97,33,16,3.93,US,1675984894
165,broome,42.2506,-75.833,9.79,85,100,6.17,US,1675984894
166,sobolevo,54.4299,31.8996,-9.65,95,9,3.93,RU,1675984895
167,lorengau,-2.0226,147.2712,26.39,85,100,4.96,PG,1675984895
168,nigde,37.8333,34.75,-14.1,90,41,1.74,TR,1675984896
169,esperance,-33.8667,121.9,17.18,79,5,3.46,AU,1675984897
170,garowe,8.4054,48.4845,19.71,66,7,4.53,SO,1675984898
171,grindavik,63.8424,-22.4338,-0.74,93,100,11.32,IS,1675984898
172,ottawa,45.4112,-75.6981,1.53,94,100,8.75,CA,1675984592
173,karratha,-20.7377,116.8463,29.81,68,12,5.91,AU,1675984899
174,zhigansk,66.7697,123.3711,-42.69,99,100,2.71,RU,1675984899
175,arenys de mar,41.5819,2.5494,8.54,63,76,1.79,ES,1675984900
176,dogondoutchi,13.6393,4.0287,24.21,10,4,4.82,NE,1675984900
177,jacareacanga,-6.2222,-57.7528,23.89,94,72,0.1,BR,1675984900
178,ponta do sol,32.6667,-17.1,15.0,74,41,5.33,PT,1675984901
179,dwarka,22.2394,68.9678,21.14,79,6,3.5,IN,1675984901
180,shingu,33.7333,135.9833,6.7,94,100,3.05,JP,1675984902
181,gashua,12.871,11.0482,21.77,9,100,4.5,NG,1675984902
182,gornopravdinsk,60.05,69.9,-20.24,100,78,1.06,RU,1675984903
183,jalu,29.0331,21.5482,12.96,48,0,3.08,LY,1675984903
184,mira,45.4358,12.1348,0.03,68,0,2.06,IT,1675984321
185,zhezkazgan,47.8043,67.7144,-14.74,89,100,1.86,KZ,1675984904
186,vila velha,-20.3297,-40.2925,25.97,86,0,4.12,BR,1675984904
187,lavrentiya,65.5833,-171.0,-27.27,93,85,1.69,RU,1675984904
188,sorland,67.667,12.6934,0.92,52,100,14.88,NO,1675984905
189,khandyga,62.6667,135.6,-48.38,100,68,0.73,RU,1675984905
190,grand gaube,-20.0064,57.6608,26.22,78,2,2.24,MU,1675984905
191,dzhebariki-khaya,62.2167,135.8,-47.72,100,73,0.11,RU,1675984906
192,bredasdorp,-34.5322,20.0403,20.31,85,24,4.98,ZA,1675984906
193,san joaquin,37.9333,-121.3011,19.92,49,0,1.54,US,1675984701
194,inhambane,-23.865,35.3833,26.05,88,53,5.43,MZ,1675984907
195,klaksvik,62.2266,-6.589,3.51,61,100,6.38,FO,1675984908
196,kavieng,-2.5744,150.7967,27.45,77,100,1.96,PG,1675984908
197,maksatikha,57.797,35.8825,-6.66,92,8,3.98,RU,1675984908
198,lazurne,46.084,32.5295,-2.25,59,3,4.15,UA,1675984909
199,pullman,46.7313,-117.1796,8.25,57,40,7.72,US,1675984909
200,nicoya,10.1483,-85.452,30.18,47,36,5.37,CR,1675984909
201,vila franca do campo,37.7167,-25.4333,13.23,80,49,3.81,PT,1675984910
202,piuma,-20.8378,-40.7219,24.37,91,92,4.4,BR,1675984910
203,constitucion,-35.3333,-72.4167,19.75,64,14,7.76,CL,1675984664
204,olafsvik,64.8945,-23.7142,-0.56,73,96,6.75,IS,1675984911
205,wanning,18.8003,110.3967,22.28,93,52,1.27,CN,1675984911
206,langsa,4.4683,97.9683,22.76,97,100,1.06,ID,1675984911
207,bandarbeyla,9.4942,50.8122,24.23,73,72,6.18,SO,1675984912
208,isangel,-19.55,169.2667,25.54,93,100,6.52,VU,1675984912
209,bengkulu,-3.8004,102.2655,23.23,91,93,2.11,ID,1675984662
210,lundazi,-12.2929,33.1782,17.66,93,80,1.76,ZM,1675984913
211,monastyrshchina,54.3496,31.838,-9.5,95,10,3.94,RU,1675984913
212,esil,51.9556,66.4042,-19.78,100,100,3.1,KZ,1675984913
213,lincoln,40.8,-96.667,1.27,79,100,4.02,US,1675984719
214,tromso,69.6496,18.957,-0.99,80,75,3.6,NO,1675984914
215,halifax,44.6453,-63.5724,-1.42,49,100,2.24,CA,1675984848
216,kirakira,-10.4544,161.9205,28.2,78,100,3.87,SB,1675984914
217,bowen,-20.0167,148.2333,26.24,71,52,1.23,AU,1675984654
218,caconda,-13.7333,15.0667,15.19,69,65,1.92,AO,1675984915
219,barra dos coqueiros,-10.9089,-37.0386,28.01,74,20,5.66,BR,1675984915
220,altay,47.8667,88.1167,-4.81,85,100,0.39,CN,1675984916
221,iqaluit,63.7506,-68.5145,-31.84,67,40,4.12,CA,1675984916
222,parabel,58.6978,81.4825,-18.07,96,98,2.54,RU,1675984916
223,alice town,25.7167,-79.3,23.78,74,0,9.47,BS,1675984917
224,san jeronimo,-11.9472,-75.2829,14.35,69,82,2.65,PE,1675984917
225,nanortalik,60.1432,-45.2371,-2.01,96,100,3.71,GL,1675984917
226,kaitangata,-46.2817,169.8464,16.16,44,57,0.53,NZ,1675984918
227,te anau,-45.4167,167.7167,14.9,51,23,0.4,NZ,1675984918
228,bontang,0.1333,117.5,24.9,85,99,1.68,ID,1675984918
229,itupiranga,-5.1347,-49.3267,25.18,88,53,0.81,BR,1675984919
230,maniitsoq,65.4167,-52.9,-14.68,96,99,9.5,GL,1675984701
231,nantucket,41.2835,-70.0995,6.19,84,100,6.17,US,1675984919
232,khash,28.2211,61.2158,9.63,60,63,1.48,IR,1675984920
233,santa maria,-29.6842,-53.8069,26.61,74,0,1.03,BR,1675984874
234,gazli,40.1333,63.45,-5.5,52,0,4.04,UZ,1675984920
235,dauriya,49.9333,116.8667,-28.91,100,92,1.1,RU,1675984921
236,mitu,1.1983,-70.1733,23.59,96,69,0.8,CO,1675984921
237,nikolskoye,59.7035,30.7861,-2.06,86,100,5.22,RU,1675984921
238,yuncheng,35.0231,110.9928,0.07,84,4,1.97,CN,1675984922
239,batemans bay,-35.7167,150.1833,20.05,61,6,0.87,AU,1675984922
240,souillac,-20.5167,57.5167,26.21,78,75,3.6,MU,1675984922
241,ulvik,60.5672,6.9187,-2.06,91,100,7.66,NO,1675984923
242,ojhar,20.1,73.9333,18.88,27,52,0.98,IN,1675984923
243,berekum,7.4534,-2.584,28.31,48,99,3.3,GH,1675984924
244,puerto carreno,6.189,-67.4859,31.99,48,20,5.66,CO,1675984924
245,kouango,4.9934,19.9619,24.96,23,10,0.96,CF,1675984925
246,coahuayana,18.7333,-103.6833,28.95,50,4,2.8,MX,1675984925
247,marsh harbour,26.5412,-77.0636,23.29,65,15,6.78,BS,1675984925
248,blythe,33.6103,-114.5964,22.25,11,0,4.63,US,1675984862
249,sturgis,41.7992,-85.4192,4.14,98,100,8.23,US,1675984926
250,fortuna,40.5982,-124.1573,17.18,68,0,2.06,US,1675984926
251,cheyenne,41.14,-104.8203,-3.82,54,0,9.26,US,1675984667
252,sibiti,-3.6819,13.3499,19.86,95,98,0.72,CG,1675984927
253,touros,-5.1989,-35.4608,26.97,79,88,6.24,BR,1675984928
254,matadi,-5.8167,13.45,24.88,89,75,1.44,CD,1675984928
255,hami,42.8,93.45,0.78,38,75,2.1,CN,1675984928
256,kuldiga,56.974,21.9572,3.83,88,100,7.62,LV,1675984929
257,sao felix do xingu,-6.6447,-51.995,22.96,96,60,0.93,BR,1675984930
258,leh,34.1667,77.5833,-9.17,97,100,1.06,IN,1675984931
259,shiyan,32.6475,110.7781,3.74,91,95,1.23,CN,1675984932
260,victoria,22.2855,114.1577,20.21,90,62,1.79,HK,1675984770
261,oistins,13.0667,-59.5333,25.05,73,20,8.23,BB,1675984932
262,ahmadpur sial,30.6754,71.7483,11.37,64,13,4.04,PK,1675984933
263,butembo,0.15,29.2833,16.01,55,57,1.41,CD,1675984933
264,naze,28.3667,129.4833,19.51,91,100,10.75,JP,1675984933
265,tadine,-21.55,167.8833,26.95,82,100,6.77,NC,1675984934
266,asau,46.4333,26.4,-12.49,85,4,2.59,RO,1675984934
267,nueva germania,-23.9,-56.5667,26.16,66,68,1.22,PY,1675984935
268,canico,32.6333,-16.85,15.0,86,75,2.57,PT,1675984935
269,taquarituba,-23.5331,-49.2444,23.07,64,1,0.83,BR,1675984936
270,guerrero negro,27.9769,-114.0611,23.54,22,1,3.26,MX,1675984936
271,ballina,-28.8667,153.5667,24.45,83,34,3.68,AU,1675984937
272,kalmunai,7.4167,81.8167,23.86,82,96,3.03,LK,1675984937
273,blagoyevo,63.3667,47.9167,-0.71,84,100,5.75,RU,1675984938
274,afonso bezerra,-5.4983,-36.5056,28.28,63,100,6.36,BR,1675984939
275,takoradi,4.8845,-1.7554,26.13,88,86,2.97,GH,1675984542
276,cabedelo,-6.9811,-34.8339,26.37,79,9,5.85,BR,1675984939
277,ende,-8.8432,121.6623,25.96,87,100,1.94,ID,1675984939
278,lipin bor,60.2622,37.9763,-5.48,88,94,5.86,RU,1675984940
279,bodden town,19.2833,-81.25,27.22,88,20,6.17,KY,1675984940
280,belmonte,-15.8631,-38.8828,25.25,86,6,3.58,BR,1675984941
281,taoudenni,22.6783,-3.9836,21.4,14,94,7.46,ML,1675984941
282,hernani,43.2662,-1.9762,4.36,77,0,2.06,ES,1675984941
283,wum,6.3833,10.0667,22.0,23,19,1.56,CM,1675984942
284,nanlong,31.3533,106.0631,8.13,89,76,1.18,CN,1675984942
285,yumen,40.2833,97.2,-3.37,36,88,3.0,CN,1675984943
286,whitehorse,60.7161,-135.0538,-4.57,74,75,5.14,CA,1675984943
287,zhangjiakou,40.81,114.8794,-9.22,92,36,1.13,CN,1675984944
288,hovd,48.0056,91.6419,-16.18,82,99,0.93,MN,1675984945
289,faanui,-16.4833,-151.75,27.59,71,3,5.81,PF,1675984946
290,petropavlovsk-kamchatskiy,53.0452,158.6483,-19.67,71,75,3.0,RU,1675984946
291,cabo san lucas,22.8909,-109.9124,27.61,48,20,3.09,MX,1675984947
292,hillsboro,45.5229,-122.9898,16.11,52,0,3.6,US,1675984925
293,rio grande,-32.035,-52.0986,27.06,74,0,5.32,BR,1675984947
294,san felipe,10.3399,-68.7425,21.72,92,99,2.49,VE,1675984948
295,eldorado,-23.7869,-54.2836,26.71,65,64,1.99,BR,1675984948
296,dongkan,33.9997,119.8308,4.07,89,100,2.58,CN,1675984949
297,zunyi,27.6867,106.9072,7.8,92,100,1.81,CN,1675984949
298,lata,40.1629,-8.3327,6.62,79,0,2.26,PT,1675984950
299,tazmalt,36.3868,4.3989,4.28,94,43,2.0,DZ,1675984950
300,iskateley,67.6803,53.1512,0.11,92,100,10.47,RU,1675984951
301,annamalainagar,11.4,79.7333,22.25,84,65,2.54,IN,1675984951
302,hastings,50.8552,0.5729,6.4,58,52,1.81,GB,1675984335
303,hofn,64.2539,-15.2082,-3.31,44,100,2.93,IS,1675984952
304,podgornoye,51.735,39.1496,-4.88,93,100,2.0,RU,1675984953
305,bayanday,53.0661,105.5139,-20.22,100,99,0.79,RU,1675984953
306,ewa beach,21.3156,-158.0072,27.97,54,0,11.32,US,1675984954
307,goderich,43.7501,-81.7165,10.18,81,78,6.69,CA,1675984954
